show_id,title,country,release_year,duration(min),listed_in
80175798,The Irishman,United States,2019,209,Dramas
81024100,American Son,United States,2019,90,Dramas
81063129,Christmas in the Heartland,United States,2017,112,Dramas
81103139,Her Only Choice,United States,2018,87,Dramas
81043473,SGT. Will Gardner,United States,2019,125,Dramas
80209796,Meditation Park,Canada,2017,94,Dramas
80200571,The Highwaymen,United States,2019,132,Dramas
80082242,The Most Hated Woman in America,United States,2017,93,Dramas
80171733,Roxanne Roxanne,United States,2018,100,Dramas
80156212,Wakefield,United States,2016,109,Dramas
80201833,True to the Game,United States,2017,108,Dramas
80144119,My Honor Was Loyalty,Italy,2015,115,Dramas
81090899,Recall,Canada,2018,73,Dramas
80108430,The Duel,United States,2016,110,Dramas
80241071,VS.,United Kingdom,2018,99,Dramas
80145512,Victor,United States,2015,110,Dramas
81145271,Black & Privileged: Volume 1,United States,2019,79,Dramas
80180851,Gemini,India,2018,130,Dramas
81047683,Agatha and the Truth of Murder,United Kingdom,2018,92,Dramas
81050192,Driven to Dance,United States,2018,99,Dramas
81144867,Saving Zoë,United States,2019,95,Dramas
80115030,The Last Face,United States,2016,131,Dramas
70301279,Imperial Dreams,United States,2014,86,Dramas
80057509,Trespass Against Us,United Kingdom,2016,100,Dramas
80198735,The Bachelors,United States,2017,100,Dramas
80171291,Paint It Black,United States,2016,96,Dramas
70213471,Lawless,United States,2012,116,Dramas
80131551,Mr. Church,United States,2016,105,Dramas
80144803,Barry,United States,2016,105,Dramas
80127459,Sister Cities,United States,2016,88,Dramas
80085567,The Monster of Mangatiti,New Zealand,2015,70,Dramas
80152091,Across Grace Alley,United States,2013,24,Dramas
80057691,XOXO,United States,2016,92,Dramas
81003736,One Last Thing,United States,2018,92,Dramas
80199381,Hostiles,United States,2017,134,Dramas
80188580,Chocolate City: Vegas Strip,United States,2017,90,Dramas
80235025,Honey: Rise Up and Dance,United States,2018,100,Dramas
80128715,Rodney King,United States,2017,53,Dramas
80081278,The Daughter,Australia,2015,95,Dramas
80015799,Good Kill,United States,2014,103,Dramas
80115101,Deuces,United States,2016,88,Dramas
